公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
2115,六暉-KY,279196,296464,124625,-5.82,124.02,1444032,851426,69.6,市場需求復甦及去年因肺炎疫情影響營收基期較低，故本年(月)營收較去年同期大幅成長。
2231,為升,362536,402870,210817,-10.01,71.96,1928150,1277456,50.93,因去年受疫情影響，故造成該差異。
2233,宇隆,291320,309068,155436,-5.74,87.42,1387463,901349,53.93,主係因新冠肺炎影響趨緩，客戶需求及訂單明顯回升。
2239,英利-KY,1744061,1866501,1668489,-6.55,4.52,8046064,7047426,14.17,-
2241,艾姆勒,86067,85375,61370,0.81,40.24,409213,344739,18.7,-
2250,IKKA-KY,291706,306118,229710,-4.7,26.98,1561318,1313726,18.84,-
2497,怡利電,178617,185709,101285,-3.81,76.35,881865,578381,52.47,109/5係因受新冠肺炎疫情影響，車廠停工，致營收大幅減少，110/5維持今年以來的出貨水平。
4551,智伸科,753440,758924,435998,-0.72,72.8,3774644,2478333,52.3,本月營收較去年同期增加，主要係汽車、運動及電子銷售成長所致。
4557,永新-KY,166069,159251,103399,4.28,60.6,731983,558597,31.03,營業收入增加60.61%，是去年同期美洲及東南亞市場受新冠肺炎影響.今年客戶補充庫存及卡鉗訂單增加影響.致營業收入大幅成長。
4581,光隆精密-KY,81931,81233,53827,0.85,52.21,394495,345616,14.14,2021年度全球新冠肺炎疫情較趨緩，中國、美國及歐洲等市場需求較2020年度增加
6288,聯嘉,288306,287847,123270,0.15,133.88,1559697,1130708,37.93,本公司去年同期營收減少，主要係因新冠狀肺炎疫情之影響，北美客戶暫時關閉其工廠，致使出貨遞延所致。
2302,麗正,65627,65856,36696,-0.34,78.83,296058,180686,63.85,系訂單需求增加
2303,聯電,17189070,16382058,14745577,4.92,16.57,80668140,72072613,11.92,-
2329,華泰,1406100,1368280,1190738,2.76,18.08,6563276,6050689,8.47,-
2337,旺宏,4006487,3810816,2835520,5.13,41.29,17444447,15679128,11.25,-
2338,光罩,492410,479967,356997,2.59,37.93,2248439,1816914,23.75,-
2344,華邦電,8207005,8304909,4273412,-1.17,92.04,37837272,20171004,87.58,本公司之子公司新唐科技109/9/1完成對日本Panasonic Corporation半導體相關事業之併購，自完成日起該事業併入本公司合併財報
2351,順德,909710,920273,683103,-1.14,33.17,4281777,3303555,29.61,-
2363,矽統,18289,16253,12878,12.52,42.01,85694,68058,25.91,-
2369,菱生,654970,651712,437315,0.49,49.77,3017462,2160951,39.63,-
2379,瑞昱,8576975,7811945,5725927,9.79,49.79,39729666,27187405,46.13,無
2408,南亞科,7604264,7394273,5549926,2.83,37.01,32729150,25588474,27.9,-
2434,統懋,11842,13600,11806,-12.92,0.3,59078,53987,9.43,-
2436,偉詮電,299224,270935,213510,10.44,40.14,1322751,924184,43.12,-
2441,超豐,1633148,1591489,1236702,2.61,32.05,7440235,5667823,31.27,-
2449,京元電子,2861258,2757602,2584325,3.75,10.71,13249750,12170298,8.86,-
2451,創見,1277428,1289337,831925,-0.92,53.55,6065386,4842602,25.25,去年同期受疫情影響，基期較低
2458,義隆,1661074,1712236,1225041,-2.98,35.59,7529131,4470310,68.42,居家辦公及授課市場需求增加
2481,強茂,1217899,1145856,858701,6.28,41.83,5493234,3870068,41.94,"本月營收淨額含二極體$1,205,660仟元及其他$18,869仟元，減銷退/折$6,630仟元。"
3006,晶豪科,2084866,2011711,978518,3.63,113.06,9068053,5865032,54.61,本期合併月營收相較於去年同期有所成長，主要係因市場需求較去年同期成長所致。
3014,聯陽,629088,576001,388006,9.21,62.13,2727037,1587686,71.76,因受疫情影響，公司產品需求增加。
3034,聯詠,11447855,11083873,6212160,3.28,84.28,48898243,29647548,64.93,市場需求提升以及公司積極擴展業務，致營收較去年同期成長。
3035,智原,559624,558416,432250,0.21,29.46,2653015,2064598,28.5,-
3054,立萬利,6038,3315,40789,82.14,-85.19,22904,179336,-87.22,本期無電子相關營收致本期營收較去年同期減少。
3094,聯傑,23490,29001,21719,-19.0,8.15,119941,95394,25.73,-
3189,景碩,2874588,2732110,2350465,5.21,22.29,12832684,10303984,24.54,-
3257,虹冠電,110053,108477,82398,1.45,33.56,497499,310321,60.31,客戶需求增加
3443,創意,1083197,1011945,930456,7.04,16.41,5407333,5178147,4.42,-
3450,聯鈞,610558,615756,549374,-0.84,11.13,2967870,2404532,23.42,-
3530,晶相光,355765,333001,174815,6.83,103.5,1612125,943954,70.78,因監控系列產品營收較去年同期大幅成長所致。
3532,台勝科,936864,956367,1037466,-2.03,-9.69,4846876,4987600,-2.82,-
3545,敦泰,1950433,1908675,746860,2.18,161.15,8208962,4599853,78.46,主力產品出貨提升
3588,通嘉,172462,165969,119420,3.91,44.41,767785,528714,45.21,-
3686,達能,18675,16531,6243,12.96,199.13,68285,39197,74.2,由於多晶矽原料供不應求，加上晶片製造商擔憂缺料的預期心態下，五月份現貨價格持續上漲，因此營收較去年同期業績大幅成長。
4919,新唐,3371012,3495440,1025400,-3.55,228.75,16938932,4104762,312.66,本公司109/09/01完成對日本Panasonic Corporation半導體相關事業之併購，自完成日起該事業併入本公司合併財務報告
4952,凌通,320698,301697,250873,6.29,27.83,1347348,953385,41.32,-
4961,天鈺,2051590,1751503,691822,17.13,196.54,7807320,3504705,122.76,本月營收較去年同期增加主係顯示器驅動IC出貨量增加所致
4967,十銓,625146,611842,564922,2.17,10.66,3150337,2653625,18.71,-
4968,立積,588711,614232,407656,-4.15,44.41,2944422,1536859,91.58,因客戶需求增加及產能提升
5285,界霖,525281,566678,352574,-7.3,48.98,2544271,1701466,49.53,-
5471,松翰,519236,547974,484556,-5.24,7.15,2454331,1871231,31.16,-
6202,盛群,555724,523085,478689,6.23,16.09,2543507,1974065,28.84,-
6239,力成,6886318,6671415,6444874,3.22,6.84,31986966,31820593,0.52,-
6243,迅杰,64869,75906,42751,-14.54,51.73,327183,232014,41.01,客戶端需求持續強勁，故公司五月份整體營收呈現成長。
6257,矽格,1408402,1350187,959984,4.31,46.71,6262966,4641342,34.93,-
6271,同欣電,1156121,1112037,686655,3.96,68.36,5409420,3230832,67.43,投資之子公司營收併入
6451,訊芯-KY,419198,416292,338413,0.69,23.87,1908334,1734264,10.03,-
6515,穎崴,217915,185151,307914,17.69,-29.22,949582,1203146,-21.07,-
6525,捷敏-KY,384192,382680,344580,0.39,11.49,1828055,1404475,30.15,-
6531,愛普,515235,518317,217488,-0.59,136.9,2261478,1392090,62.45,"市場需求強勁故營收增加，另去年同期之合併營收已排除停業單位營收，109年5月累計合併營收(含停業單位)為1,595,068仟元。"
6552,易華電,270335,273400,251652,-1.12,7.42,1255515,1066477,17.72,-
6756,威鋒電子,267206,266771,169699,0.16,57.45,1259128,760924,65.47,本期出貨量增加。
8016,矽創,1902983,1765268,763403,7.8,149.27,7710891,4858019,58.72,主係驅動IC出貨量增加及調漲產品售價所致
8028,昇陽半導體,230231,233617,193663,-1.44,18.88,1135590,1023876,10.91,-
